original_name	ncbi_name
Yellowstone.fasta.gz	O.c_bouvieri_9968.fasta.gz
Westslope.fasta.gz	O.c_lewisi_9957.fasta.gz
UMCR.fasta.gz	O.c_pleuriticus_11048.fasta.gz
RioGrande.fasta.gz	O.c_virginalis_10810.fasta.gz
LWFBlackCR.fasta.gz	O.c_pleuriticus_11047.fasta.gz
Lahontan.fasta.gz	O.c_henshawi_9332.fasta.gz
Humboldt.fasta.gz	O.c_humboldtensis_8361.fasta.gz
Greenback.fasta.gz	O.c_stomias_9399.fasta.gz
Coastal.fasta.gz	O.c_clarkii_9983.fasta.gz
Bonneville2.fasta.gz	O.c_utah_11086.fasta.gz
Bonneville1.fasta.gz	O.c_utah_8375.fasta.gz
BobtailCR.fasta.gz	O.c_pleuriticus_11087.fasta.gz
BeaverCR.fasta.gz	O.c_pleuriticus_11088.fasta.gz
BearRiver.fasta.gz	O.c_utah_8371.fasta.gz
