original_name	ncbi_name
BearRiver_R1.fq.gz	O.c_utah_8371_1.fq.gz
BearRiver_R2.fq.gz	O.c_utah_8371_2.fq.gz
BeaverCR_R1.fq.gz	O.c_pleuriticus_11088_1.fq.gz
BeaverCR_R2.fq.gz	O.c_pleuriticus_11088_2.fq.gz
BobtailCR_R1.fq.gz	O.c_pleuriticus_11087_1.fq.gz
BobtailCR_R2.fq.gz	O.c_pleuriticus_11087_2.fq.gz
Bonneville1_R1.fq.gz	O.c_utah_8375_1.fq.gz
Bonneville1_R2.fq.gz	O.c_utah_8375_2.fq.gz
Bonneville2_R1.fq.gz	O.c_utah_11086_1.fq.gz
Bonneville2_R2.fq.gz	O.c_utah_11086_2.fq.gz
Greenback_R1.fq.gz	O.c_stomias_9399_1.fq.gz
Greenback_R2.fq.gz	O.c_stomias_9399_2.fq.gz
Humboldt_R1.fq.gz	O.c_humboldtensis_8361_1.fq.gz
Humboldt_R2.fq.gz	O.c_humboldtensis_8361_2.fq.gz
LWFBlackCR_R1.fq.gz	O.c_pleuriticus_11047_1.fq.gz
LWFBlackCR_R2.fq.gz	O.c_pleuriticus_11047_2.fq.gz
UMCR_R1.fq.gz	O.c_pleuriticus_11048_1.fq.gz
UMCR/UMCR_R2.fq.gz	O.c_pleuriticus_11048_2.fq.gz
m54336U_200529_200122.fl.bc1002_5p--bc1002_3p.bam	O.c_bouvieri_9968_muscle.bam
m54336U_200529_200122.fl.bc1005_5p--bc1005_3p.bam	O.c_bouvieri_9968_heart.bam
m54336U_200529_200122.fl.bc1018_5p--bc1018_3p.bam	O.c_lewisi_9957_run1.bam
cm54336U_200529_200122.fl.bc1020_5p--bc1020_3p.bam	O.c_clarkii_9983.bam
m54336U_200529_200122.fl.bc1023_5p--bc1023_3p.bam	O.c_henshawi_9332.bam
m64140_220314_131357.fl.bc1001_5p--bc1001_3p.bam	O.c_virginalis_10810.bam
m64140_220314_131357.fl.bc1003_5p--bc1003_3p.bam	O.c_lewisi_9957_run2.bam
